face|corner1|edge1|corner2|edge2|corner3|edge3|corner4|edge4
w|w,b,o|w,b|w,b,r|w,r|w,r,g|w,g|w,g,o|w,o
g|g,w,o|g,w|g,w,r|g,r|g,r,y|g,y|g,y,o|g,o
o|o,w,b|o,w|o,w,g|o,g|o,g,y|o,y|o,y,b|o,b
b|b,w,r|b,w|b,w,o|b,o|b,o,y|b,y|b,y,r|b,r
r|r,w,g|r,w|r,w,b|r,b|r,b,y|r,y|r,y,g|r,g
y|y,g,o|y,g|y,g,r|y,r|y,r,b|y,b|y,b,o|y,o
